a little	văn chương, văn học
risk	sự liều, mạo hiểm; liều
rival	đối thủ, địch thủ; đối địch, cạnh tranh
road	con đường, đường phố
rob	cướp, lấy trộm
rock	đá
role	vai (diễn), vai trò
roll	cuốn, cuộn, sự lăn tròn; lăn, cuốn, quấn, cuộn
romantic	lãng mạn
roof	mái nhà, nóc
root	gốc, rễ
rope	dây cáp, dây thừng, xâu, chuỗi
rough	gồ ghề, lởm chởm
roughly	gồ ghề, lởm chởm
round	(n)tròn, vòng quanh, xung quanh
rounded	bị làm thành tròn; phát triển đầy đủ
route	đường đi, lộ trình, tuyến đường
routine	thói thường, lệ thường, thủ tục; thường lệ, thông thường
row	hàng, dãy
royal	(thuộc) vua, nữ hoàng, hoàng gia
rub	cọ xát, xoa bóp, nghiền, tán
rubber	cao su
rubbish	vật vô giá trị, bỏ đi, rác rưởi
rude	bất lịch sự, thô lỗ; thô sơ, đơn giản
rudely	bất lịch sự, thô lỗ; thô sơ, đơn giản
ruin	làm hỏng, làm đổ nát, làm phá sản; sự hỏng, sự đổ nát, sự phá sản
ruined	bị hỏng, bị đổ nát, bị phá sản
rule	quy tắc, điều lệ, luật lệ; cai trị, chỉ huy, điều khiển
ruler	người cai trị, người trị vì; thước kẻ
rumour	tin đồn, lời đồn
runner	người chạy
running	sự chạy, cuộc chạy đua
rural	(thuộc) nông thôn, vùng nông thôn
rush	xông lên, lao vào, xô đẩy; sự xông lên, sự lao vào, sự xô đẩy
sack	bào tải; đóng bao, bỏ vào bao
sad	buồn, buồn bã
sadly	một cách buồn bã, đáng buồn là, không may mà
sadness	sự buồn rầu, sự buồn bã
safe	an toàn, chắc chắn, đáng tin
safely	an toàn, chắc chắn, đáng tin
safety	sự an toàn, sự chắc chăn
sail	đi tàu, thuyền, nhổ neo; buồm, cánh buồm, chuyến đi bằng thuyền buồm
sailing	sự đi thuyền
sailor	thủy thủ
salad	sa lát (xà lách trộng dầu dấm); rau sống
salary	tiền lương
sale	việc bán hàng
salt	muối
salty	chứ vị muối, có muối, mặn
same	pro(n) đều đều, đơn điệu; cũng như thế, vẫn cái đó
sample	mẫu, hàng mẫu
sand	cát
satisfaction	sự làm cho thỏa mãn, toại nguyện; sự trả nợ, bồi thường
satisfied	cảm thấy hài lòng, vừa ý, thoả mãn
satisfy	làm thỏa mãn, hài lòng; trả (nợ), chuộc tội
satisfying	đem lại sự thỏa mãn, làm thỏa mãn, làm vừa ý
sauce	nước xốt, nước chấm
save	cứu, lưu
saving	sự cứu, sự tiết kiệm
scale	vảy (cá..)
scare	làm kinh hãi, sợ hãi, dọa; sự sợ hãi, sự kinh hoàng
scared	bị hoảng sợ, bị sợ hãi
scene	cảnh, phong cảnh
schedule	kế hoạch làm việc, bản liệt kê; lên thời khóa biểu, lên kế hoạch
scheme	sự sắp xếp, sự phối hợp; kế hoạch thực hiện; lược đồ, sơ đồ
school	đàn cá, bầy cá, trường học
science	khoa học, khoa học tự nhiên
scientific	(thuộc) khoa học, có tính khoa học
scientist	nhà khoa học
scissors	cái kéo
score	điểm số, bản thắng, tỷ số; đạt được, thành công, cho điểm
scratch	cào, làm xước da; sự cào, sự trầy xước da
scream	gào thét, kêu lên; tiếng thét, tiếng kêu to
screen	màn che, màn ảnh, màn hình; phim ảnh nói chung
screw	đinh vít, đinh ốc; bắt vít, bắt ốc
seal	hải cẩu; săn hải cẩu
search	sự tìm kiếm, sự thăm dò, sự điều tra; tìm kiếm, thăm dò, điều tra
season	mùa
seat	ghế, chỗ ngồi
second	thứ hai, ở vị trí thứ 2, thứ nhì; người về nhì
secondary	trung học, thứ yếu
secret	bí mật; điều bí mật
secretary	thư ký
secretly	bí mật, riêng tư
section	mục, phần
sector	khu vực, lĩnh vực
secure	chắc chắn, đảm bảo; bảo đảm, giữ an ninh
security	sự an toàn, sự an ninh
see	nhìn, nhìn thấy, quan sát
seed	hạt, hạt giống
seek	tìm, tìm kiếm, theo đuổi,đòi hỏi
seem	có vẻ như, dường như
select	chọn lựa, chọn lọc
selection	sự lựa chọn, sự chọc lọc
self	bản thân mình
sell	bán
senate	thượng nghi viện, ban giám hiệu
senator	thượng nghị sĩ
send	gửi, phái đi
senior	nhiều tuổi hơn, dành cho trẻ em trên 11t, sinh viên năm cuối trường trung học, cao đẳng
sense	giác quan, tri giác, cảm giác
sensible	có óc xét đoán; hiểu, nhận biết được
sensitive	dễ bị thương, dễ bị hỏng; dễ bị xúc phạm
sentence	câu
separate	khác nhau, riêng biệt; làm rời, tách ra, chia tay
separated	ly thân
separately	không cùng nhau, thành người riêng, vật riêng
separation	sự chia cắt, phân ly, sự chia tay, ly thân
series	loạt, dãy, chuỗi
serious	đứng đắn, nghiêm trang
seriously	đứng đắn, nghiêm trang
servant	người hầu, đầy tớ
serve	phục vụ, phụng sự
service	sự phục vụ, sự hầu hạ
session	buổi họp, phiên họp, buổi, phiên
set	bộ, bọn, đám, lũ; đặt để, bố trí
set fire to	lửa; đốt cháy
settle	giải quyết, dàn xếp, hòa giải, đặt, bố trí
several	pro(n) nhiều hơn ba; vài; dăm ba, riêng; cá nhân
severe	khắt khe, gay gắt; giản dị, mộc mạc
severely	khắt khe, gay gắt; giản dị, mộc mạc
sew	may, khâu
sewing	sự khâu, sự may vá
sex	giới, giống
sexual	giới tính, các vấn đề sinh lý
sexually	giới tính, các vấn đề sinh lý
shade	bóng, bóng tối
shadow	bóng, bóng tối, bóng râm, bóng má
shake	rung, lắc, giũ; sự rung, sự lắc, sự giũ
shall	dự đoán tương lai: sẽ
shallow	nông, cạn
shame	sự xấu hổ, thẹn thùng, sự ngượng
shape	hình, hình dạng, hình thù
shaped	có hình dáng được chỉ rõ
share	đóng góp, tham gia, chia sẻ; phần đóng góp, phần tham gia, chia sẻ
sharp	sắc, nhọn, bén
sharply	sắc, nhọn, bén
shave	cạo (râu), bào, đẽo (gỗ)
sheep	con cừu
sheet	chăn, khăn trải giường; lá, tấm, phiến, tờ
shelf	kệ, ngăn, giá
shell	vỏ, mai; vẻ bề ngoài
shelter	sự nương tựa, sự che chở, sự ẩn náu; che chở, bảo vệ
shift	đổi chỗ, dời chỗ, chuyển, giao; sự thay đổi, sự luân phiên
shine	chiếu sáng, tỏa sáng
shiny	sáng chói, bóng
ship	tàu, tàu thủy
shirt	áo sơ mi
shock	sự đụng chạm, va chạm, sự kích động, sự choáng
shocked	bị kích động, bị va chạm, bị sốc
shocking	gây ra căm phẫn, tồi tệ, gây kích động
shoe	giày
shoot	vụt qua, chạy qua, ném, phóng, bắn; đâm ra, trồi ra
shooting	sự bắn, sự phóng đi
shop	cửa hàng; đi mua hàng, đi chợ
shopping	sự mua sắm
short	ngắn, cụt
shortly	trong thời gian ngắn, sớm
shot	đạn, viên đạn
shoulder	vai
shout	hò hét, reo hò; sự la hét, sự hò reo
show	biểu diễn, trưng bày; sự biểu diễn, sự bày tỏ
shower	vòi hoa sen, sự tắm vòi hoa sen
shut	đóng, khép, đậy; tính khép kín
shy	nhút nhát, e thẹn
sick	ốm, đau, bệnh
side	mặt, mặt phẳng
sideways	ngang, từ một bên; sang bên
sight	cảnh đẹp; sự nhìn
sign	dấu, dấu hiệu, kí hiệu; đánh dấu, viết ký hiệu
signal	dấu hiệu, tín hiệu; ra hiệu, báo hiệu
signature	chữ ký
significant	nhiều ý nghĩa, quan trọng
significantly	đáng kể
silence	sự im lặng, sự yên tĩnh
silent	im lặng, yên tĩnh
silk	tơ, chỉ, lụa
silly	ngớ ngẩn, ngu ngốc, khờ dại
silver	bạc, đồng bạc; làm bằng bạc, trắng như bạc
similar	giống như, tương tự như
similarly	tương tự, giống nhau
simple	đơn, đơn giản, dễ dàng
simply	một cách dễ dàng, giản dị
since	từ, từ khi; từ khi, từ lúc đó; từ đó, từ lúc ấy
sincere	thật thà, thẳng thắng, chân thành
sincerely	một cách chân thành
sing	hát, ca hát
singer	ca sĩ
singing	sự hát, tiếng hát
single	đơn, đơn độc, đơn lẻ
sink	chìm, lún, đắm
sir	xưng hô lịch sự ngài, ông
sit	ngồi
sit down	ngồi
site	chỗ, vị trí
situation	hoàn cảnh, địa thế, vị trí
size	cỡ
sized	cỡ
skilful	tài giỏi, khéo tay
skilfully	tài giỏi, khéo tay
skill	kỹ năng, kỹ sảo
skilled	có kỹ năng, có kỹ sảo, khẻo tay; có kinh nghiệm, lành nghề
skin	da, vỏ
skirt	váy, đầm
sky	trời, bầu trời
sleep	ngủ; giấc ngủ
sleeve	tay áo, ống tay
slice	miếng, lát mỏng; cắt ra thành miếng mỏng, lát mỏng
slide	trượtc, chuyển động nhẹ, lướt qua
slight	mỏng manh, thon, gầy
slightly	mảnh khảnh, mỏng manh, yếu ớt
slip	trượt, tuột, trôi qua, chạy qua
slope	dốc, đường dốc, độ dốc; nghiêng, dốc
slow	chậm, chậm chạp
slowly	một cách chậm chạp, chậm dần
smart	mạnh, ác liệt,khéo léo, nhanh trí
smash	đập, vỡ tan thành mảnh; sự đập, vỡ tàn thành mảnh
smell	ngửi; sự ngửi, khứu giác
smile	cười, mỉm cười; nụ cười, vẻ tươi cười
smoke	khói, hơi thuốc; hút thuốc, bốc khói, hơi
smoking	sự hút thuốc
smooth	nhẵn, trơn, mượt mà
smoothly	một cách êm ả, trôi chảy
snake	con rắn; người nham hiểm, xảo trá
snow	tuyết; tuyết rơi
so	như vậy, như thế; vì thế, vì vậy, vì thế cho nên
so that	như vậy, như thế; vì thế, vì vậy, vì thế cho nên
soap	xà phòng
social	có tính xã hội
socially	có tính xã hội
society	xã hội
sock	tất ngắn, miếng lót giày
soft	mềm, dẻo
softly	một cách mềm dẻo
software	phần mềm (máy tính)
soil	đất trồng; vết bẩn
soldier	lính, quân nhân
solid	rắn; thể rắn, chất rắn
solution	sự giải quyết, giải pháp
solve	giải, giải thích, giải quyết
some	giải, giải thích, giải quyết
somebody	không biết làm sao, bằng cách này hay cách khác
somehow	không biết làm sao, bằng cách này hay cách khác
something	không biết làm sao, bằng cách này hay cách khác
sometimes	thỉnh thoảng, đôi khi
somewhat	đến mức độ nào đó, hơi, một chút
somewhere	nơi nào đó. đâu đó
soon	sớm, chẳng bao lâu nữa
sore	đau, nhức
sorry	xin lỗi, lấy làm tiếc, lấy làm buồn
sort	thứ, hạng loại; lựa chọn, sắp xếp, phân loại
soul	tâm hồn, tâm trí, linh hồn
sound	âm thanh; nghe
soup	xúp, canh, cháo
sour	chua, có vị giấm
source	nguồn
south	phương nam, hướng nam; ở phía nam
southern	thuộc phương nam
space	khoảng trống, khoảng cách
spare	thừa thãi, dự trữ, rộng rãi; đồ dự trữ, đồ dự phòng
speak	nói
speaker	người nói, người diễn thuyết
special	đặc biệt, riêng biệt
specialist	chuyên gia, chuyên viên
specially	đặc biệt, riêng biệt
specific	đặc trưng, riêng biệt
specifically	đặc trưng, riêng biệt
speech	sự nói, khả năng nói, lời nói, cách nói, bài nói
speed	tốc độ, vận tốc
spell	đánh vần; sự thu hút, sự quyến rũ, say mê
spelling	sự viết chính tả
spend	tiêu, xài
spice	gia vị
spicy	có gia vị
spider	con nhện
spin	quay, quay tròn
spirit	tinh thần, tâm hồn, linh hồn
spiritual	(thuộc) tinh thần, linh hồn
spite	sự giận, sự hận thù
split	chẻ, tách, chia ra; sự chẻ, sự tách, sự chia ra
spoil	cướp, cướp đọat
spoken	nói theo 1 cách nào đó
spoon	cái thìa
spot	dấu, đốm, vết
spray	máy, ống, bình phụt, bơm, phun; bơm, phun, xịt
spread	trải, căng ra, bày ra; truyền bá
spring	mùa xuân
square	vuông, vuông vắn; dạng hình vuông, hình vuông
squeeze	ép, vắt, xiết; sự ép, sự vắt, sự xiết
stable	ổn định, bình tĩnh, vững vàng; chuồng ngưa
staff	gậy quyền, quyền trượng, nhân viên, cán bộ
stage	tầng, bệ
stair	bậc thang
stamp	tem; dán tem
stand	đứng, sự đứng
stand up	đứng, sự đứng
standard	tiêu chuẩn, chuẩn, mãu; làm tiêu chuẩn, phù hợp với tiêu chuẩn
star	ngôi sao, dán sao, trang trí hình sao, đánh dấu sao
stare	nhìn chằm chằm; sự nhìn chằm chằm
start	bắt đầu, khởi động; sự bắt đầu, sự khởi đầu, khởi hành
state	nhà nước, quốc gia, chính quyền; (thuộc) nhà nước, phát biểu
statement	sự bày tỏ, sự phát biểu; sự tuyên bố, sự trình bày
station	trạm, điểm, đồn
statue	tượng
status	tình trạng, địa vị, thân phận
stay	ở lại, lưu lại; sự ở lại, sự lưu lại
steadily	vững chắc, vững vàng, kiên định
steady	vững chắc, vững vàng, kiến định
steal	ăn cắp, ăn trộm
steam	hơi nước
steel	thép, ngành thép
steep	dốc, dốc đứng
steeply	dốc, cheo leo
steer	lái (tàu, ô tô...), hướng dẫn; hướng theo
step	bước; bước, bước đi
stick	đâm, thọc, chọc, cắm, dính; cái gậy, qua củi, cán
stick out for	đâm, thọc, chọc, cắm, dính; cái gậy, qua củi, cán
sticky	dính, nhớt
stiff	cứng, cứng rắn, kiên quyết
stiffly	cứng, cứng rắn, kiên quyết
still	đứng yên; vẫn, vẫn còn
sting	châm, chích, đốt; ngòi, vòi (ong, muỗi), nọc (rắn); sự châm, chích
stir	khuấy, đảo
stock	kho sự trữ, hàng dự trữ, vốn
stomach	dạ dày
stone	đá
stop	dừng, ngừng, nghỉ, thôi; sự dừng, sự ngừng, sự đỗ lại
store	cửa hàng, kho hàng; tích trữ, cho vào kho
storm	cơn giông, bão
story	chuyện, câu chuyện
stove	bếp lò, lò sưởi
straight	thẳng, không cong
strain	sự căng thẳng, sự căng
strange	xa lạ, chưa quen
strangely	lạ, xa lạ, chưa quen
stranger	người lạ
strategy	chiến lược
stream	dòng suối
street	phố, đườmg phố
strength	sức mạnh, sức khỏe
stress	sự căng thẳng; căng thẳng, ép, làm căng
stressed	bị căng thẳng, bị ép, bị căng
stretch	căng ra, duỗi ra, kéo dài ra
strict	nghiêm khắc, chặt chẽ, khắt khe
strictly	một cách nghiêm khắc
strike	đánh, đập, bãi công, đình công; cuộc bãi công, cuộc đình công
striking	nổi bật, gây ấn tượng
string	dây, sợi dây
strip	cởi, lột (quần áo); sự cởi quần áo
stripe	sọc, vằn, viền
striped	có sọc, có vằn
stroke	cú đánh, cú đòn; cái vuốt ve, sự vuốt ve; vuốt ve
strong	khỏe, mạnh, bền, vững, chắc chắn
strongly	khỏe, chắc chắn
structure	kết cấu, cấu trúc
struggle	đấu tranh; cuộc đấu tranh, cuộc chiến đấu
studio	xưởng phim, trường quay; phòng thu
study	sự học tập, sự nghiên cứu; học tập, nghiên cứu
stuff	chất liệu, chất
stupid	ngu ngốc, ngu đần, ngớ ngẩn
style	phong cách, kiểu, mẫu, loại
subject	chủ đề, đề tài; chủ ngữ
substance	chất liệu; bản chất; nội dung
substantial	thực tế, đáng kể, quan trọng
substantially	về thực chất, về căn bản
substitute	người, vật thay thế; thay thế
succeed	nối tiếp, kế tiếp; kế nghiệp, kế vị
success	sự thành công, sự thành đạt
successful	thành công, thắng lợi, thành đạt
successfully	thành công, thắng lợi, thành đạt
such	không thành công, thất bại
such as	không thành công, thất bại
suck	bú, hút; hấp thụ, tiếp thu
sudden	thình lình, đột ngột
suddenly	thình lình, đột ngột
suffer	chịu đựng, chịu thiệt hại, đau khổ
suffering	sự đau đớn, sự đau khổ
sufficient for	đủ, thích đáng
sufficiently	đủ, thích đáng
sugar	đường
suggest	đề nghị, đề xuất; gợi
suggestion	sự đề nghị, sự đề xuất, sự khêu gợi
suit	bộ com lê, trang phục; thích hợp, quen, hợp với
suitable	hợp, phù hợp, thích hợp với
suitcase	va li
suited	hợp, phù hợp, thích hợp với
sum	tổng, toàn bộ
summary	bản tóm tắt
summer	mùa hè
superior	cao hơn, mạnh hơn,người cấp trên,thượng cấp
supermarket	siêu thị
supply	sự cung cấp, nguồn cung cấp; cung cấp, đáp ứng, tiếp tế
support	sự chống đỡ, sự ủng hộ; chống đỡ, ủng hộ
supporter	vật chống đỡ; người cổ vũ, người ủng hộ
suppose	cho rằng, tin rằng, nghĩ rằng
sure	chắc chắn, xác thực
surely	chắc chắn
surface	mặt, bề mặt
surname	họ
surprise	sự ngạc nhiên, sự bất ngờ; làm ngạc nhiên
surprised at	ngạc nhiên
surprising	làm ngạc nhiên, làm bất ngờ
surprisingly	làm ngạc nhiên, làm bất ngờ
surround	vây quanh, bao quanh
surrounding	bao quanh, vây quanh; ngoại vi
surroundings	vùng xung quanh, môi trường xung quanh
survey	sự nhìn chung, sự khảo sát; quan sát, nghiên cứu
survive	sống lâu hơn, tiếp tục sống, sống sót
suspect	nghi ngờ, hoài nghi; người khả nghi, người bị tình nghi
suspicion	sự nghi ngờ, sự ngờ vực
suspicious	có sự nghi ngờ, tỏ ra nghi ngờ, khả nghi
swallow	nuốt, nuốt chửng
swear	chửi rủa, nguyền rủa; thề, hứa
swearing	lời thề, lời nguyền rủa, lời thề hứa
sweat	mồ hôi; đổ mồ hô
sweater	người ra mồ hôi,kẻ bóc lột lao động
sweep	quét
sweet	ngọt, có vị ngọt; sự ngọt bùi, đồ ngọt
swell	phồng, sưng lên
swell	phồng lên, sưng lên
swelling	sự sưng lên, sự phồng ra
swim	bơi lội
swimming	sự bơi lội
swimming pool	bể nước
swing	sự đu đưa, lúc lắc; đánh đu, đu đưa, lúc lắc
switch	công tắc, roi; tắt, bật, đánh bằng gậy, roi
switch sth off	công tắc, roi; tắt, bật, đánh bằng gậy, roi
switch sth on	công tắc, roi; tắt, bật, đánh bằng gậy, roi
swollen	sưng phồng, phình căng
symbol	biểu tượng, ký hiệu
sympathetic	đồng cảm, đáng mến, dễ thương
sympathy	sự đồng cảm, sự đồng ý
system	hệ thống, chế độ
table	cái bàn
tablet	tấm, bản, thẻ phiến
tackle	giải quyết, khắc phục, bàn thảo; đồ dùng,dụng cụ
tail	đuôi, đoạn cuối
take	sự cầm nắm, sự lấy
take notice of	thông báo, yết thị; chú ý, để ý, nhận biết
take part in	phần, bộ phận
take place	nơi, địa điểm; quảng trường
take sth off	sự cầm nắm, sự lấy
take sth over	sự cầm nắm, sự lấy
talk	nói chuyện, trò chuyện; cuộc trò chuyện, cuộc thảo luận
tank	thùng, két, bể
tap	mở vòi, đóng vồi; vòi, khóa
tape	băng, băng ghi âm; dải, dây
target	bia, mục tiêu, đích
task	nhiệm vụ, nghĩa vụ, bài tập, công tác, công việc
taste	vị, vị giác; nếm
tax	thuế; đánh thuế
tea	cây chè, trà, chè
teach	dạy
teacher	giáo viên
teaching	sự dạy, công việc dạy học
team	đội, nhóm
tear	xé, làm rắch; chỗ rách, miếng xe; nước mắt
technical	(thuộc) kỹ thuật, chuyên môn
technique	kỹ sảo, kỹ thuật, phương pháp kỹ thuật
technology	kỹ thuật học, công nghệ học
telephone	máy điện thoại, gọi điện thoại
television	vô tuyến truyền hình
tell	nói, nói với
temperature	nhiệt độ
temporarily	tính chất tạm thời, nhất thời
temporary	tạm thời, nhất thời, lâm thời
tend	trông nom, chăm sóc, giữ gìn, hầu hạ
tendency	xu hướng, chiều hướng, khuynh hướng
tension	sự căng, độ căng, tình trạng căng
tent	lều, rạp
term	giới hạn, kỳ hạn, khóa, kỳ học
terrible	khủng khiếp, ghê sợ
terribly	tồi tệ, không chịu nổi
test	bài kiểm tra, sự thử nghiệm, xét nghiệm; kiểm tra
text	nguyên văn, bản văn, chủ đề, đề tài
than	hơn
thank	cám ơn
thanks	sự cảm ơn, lời cảm ơn
that	sự cảm ơn, lời cảm ơn
the	sự cảm ơn, lời cảm ơn
the rest	sự nghỉ ngơi, lúc nghỉ; nghỉ, nghỉ ngơi
theatre	rạp hát, nhà hát
theme	đề tài, chủ đề
themselves	đề tài, chủ đề
then	khi đó, lúc đó, tiếp đó
theory	lý thuyết, học thuyết
there	ở nơi đó, tại nơi đó
therefore	bởi vậy, cho nên, vì thế
thick	dày; đậm
thickly	dày; dày đặc; thành lớp dày
thickness	tính chất dày, độ dày, bề dày
thief	kẻ trộm, kẻ cắp
thin	mỏng, mảnh
thing	cái, đồ, vật
think	nghĩ, suy nghĩ
thinking	sự suy nghĩ, ý nghĩ
thirsty	khát, cảm thấy khát
this	khát, cảm thấy khát
thorough	cẩn thận, kỹ lưỡng
thoroughly	kỹ lưỡng, thấu đáo, triệt để
though	dù, dù cho, mặc dù; mặc dù, tuy nhiên, tuy vậy
thought	sự suy nghĩ, khả năng suy nghĩ; ý nghĩ, tư tưởng, tư duy
thread	chỉ, sợi chỉ, sợi dây
threat	sự đe dọa, lời đe dọa
threaten	dọa, đe dọa
threatening	sự đe dọa, sự hăm dọa
throat	cổ, cổ họng
through	qua, xuyên qua
throughout	khắp nơi, từ đầu đến cuối, suốt
throw	ném, vứt, quăng
throw sth away	ném, vứt, quăng
thumb	ngón tay cái
thus	như vậy, như thế, do đó
ticket	vé
tidy	sạch sẽ, ngăn nắp, gọn gàng
tie	buộc, cột, trói; dây buộc, dây trói, dây giày
tie sth up	buộc, cột, trói; dây buộc, dây trói, dây giày
tight	kín, chặt, chật
tightly	chặc chẽ, sít sao
till	chặc chẽ, sít sao
time	thời gian, thì giờ
timetable	kế hoạch làm việc, thời gian biểu
tin	thiếc
tiny	rất nhỏ, nhỏ xíu
tip	đầu, mút, đỉnh, chóp; bịt đầu, lắp đầu vào
tire	làm mệt mỏi, trở nên mệt nhọc; lốp, vỏ xe
tired	mệt, muốn ngủ, nhàm chán
tiring	sự mệt mỏi, sự mệt nhọc
title	đầu đề, tiêu đề; tước vị, tư cách
toe	ngón chân (người)
together	cùng nhau, cùng với
toilet	nhà vệ sinh; sự trang điểm (rửa mặt, ăn mặc, chải tóc...)
tomato	cà chua
tomorrow	vào ngày mai; ngày mai
ton	tấn
tone	tiếng, giọng
tongue	lưỡi
tonne	tấn
tool	dụng cụ, đồ dùng
tooth	răng
top	chóp, đỉnh; đứng đầu, trên hết
topic	đề tài, chủ đề
total	tổng cộng, toàn bộ; tổng số, toàn bộ số lượng
totally	hoàn toàn
touch	sờ, mó, tiếp xúc; sự sờ, sự mó, sự tiếp xúc
tough	chắc, bền, dai
tour	cuộc đi du lịch, cuộc đi dạo, chuyến du lịch; đi du lịch
tourist	khách du lịch
towards	theo hướng, về hướng
towel	khăn tắm, khăn lau
tower	tháp
town	thị trấn, thị xã, thành phố nhỏ
toy	đồ chơi, đồ trang trí; thể loại đồ chơi
trace	phát hiện, tìm thấy, vạch, chỉ ra, phác họa; dấu, vết
track	phần của đĩa; đường mòn, đường đua
trade	thương mại, buôn bán; buôn bán, trao đổi
trading	sự kinh doanh, việc mua bán
tradition	truyền thống
traditional	theo truyền thống, theo lối cổ
traditionally	(thuộc) truyền thống, là truyền thống
traffic	sự đi lại, sự giao thông, sự chuyển động
train	xe lửa, tàu hỏa; dạy, rèn luyện, đào tạo
training	sự dạy dỗ, sự huấn luyện, sự đào tạo
transaction	sự thực hiện, sự giải quyết; sự buôn bán, sự giao dịch
transfer	dời, di chuyển; sự di chuyển, sự dời chỗ
transform	thay đổi, biến đổi
translate	dịch, biên dịch, phiên dịch
translation	sự dịch
transparent	trong suốt; dễ hiểu, sáng sủa
transport	sự vận chuyển, sự vận tải;chuyên chở, phương tiện đi lại
trap	đồ đạc, hành lý; bẫy, cạm bãy; bẫy, giữ, chặn lạ
travel	đi lại, đi du lịch, di chuyển; sự đi, những chuyến đi
traveller	người đi, lữ khách
treat	đối xử, đối đãi, cư xử
treatment	sự đối xử, sự đối đãi, sự cư xử (với người nào)
trend	phương hướng, xu hướng, chiều hướng
trial	sự thử nghiệm, cuộc thử nghiệm
triangle	hình tam giác
trick	mưu mẹo, thủ đoạn, trò lừa gạt; lừa, lừa gạt
trip	cuộc dạo chơi, cuộc du ngoạn; đi dạo, du ngoạn
tropical	nhiệt đới
trouble	điều lo lắng, điều muộn phiền
trousers	quần
truck	rau quả tươi
true	đúng, thật
truly	đúng sự thật, đích thực, thực sự
trust	niềm tin, sự phó thác; tin, tin cậy, phó thác
truth	sự thật
try	thử, cố gắng
tube	ống, tuýp
tuesday	ống, tuýp
tune	điệu, giai điệu; lên dây, so dây (đàn)
tunnel	đường hầm, hang
turn	quay, xoay, vặn; sự quay, vòng quay
twice	hai lần
twin	sinh đôi, tạo thành cặp; cặp song sinh
twist	xoắn, cuộn, quắn; sự xoắn, vòng xoắn
twisted	được xoắn, được cuộn
type	loại, kiểu, mẫu; phân loại, xếp loại
typical	tiêu biểu, điển hình, đặc trưng
typically	điển hình, tiêu biểu
tyre	lốp, vỏ xe
ugly	xấu xí, xấu xa
ultimate	cuối cùng, sau cùng
ultimately	cuối cùng, sau cùng
umbrella	ô, dù
unable	không thể, không có khẳ năng
unacceptable	không thể chấp nhận
uncertain	không chắc chắn, khôn biết rõ ràng
uncle	chú, bác
uncomfortable	bất tiện, không tiện lợi
unconscious	bất tỉnh, ngất đi
uncontrolled	không bị kiềm chế, không bị kiểm tra
under	dưới, ở dưới; ở phía dưới, về phía dưới
underground	dưới mặt đất, ngầm dưới đất; ngầm
underneath	dưới, bên dưới
understand	hiểu, nhận thức
understanding	trí tuệ, sự hiểu biết
underwater	ở dưới mặt nước, dưới mặt nước
underwear	quần lót
undo	ở dưới mặt nước, dưới mặt nước
unemployed	thất nghiệp; không dùng, không sử dụng được
unemployed	không dùng, thất nghiệp
unemployment	sự thất nghiệp, nạn thất nghiệp
unemployment	sự thất nghiệp, tình trạng thất nghiệp
unexpected	bất ngờ, đột ngột, gây ngạc nhiên
unexpected	bất ngờ, đột ngột, gây ngạc nhiên
unexpectedly	bất ngờ, đột ngột, gây ngạc nhiên
unexpectedly	bất ngờ, đột ngột, gây ngạc nhiên
unfair	gian lận, không công bằng; bất lợi
unfair	gian lận, không công bằng; bất lợi
unfairly	gian lận, không công bằng; bất lợi
unfairly	gian lận, không công bằng; bất lợi
unfortunate	không may, rủi ro, bất hạnh
unfortunately	một cách đáng tiếc, một cách không may
unfriendly	không thân thiện, không có thiện cảm
unfriendly	một cách đáng tiếc, một cách không may
unhappiness	nỗi buồn, sự bất hạnh
unhappiness	nỗi buồn, sự bất hạnh
unhappy	buồn rầu, khốn khổ
unhappy	buồn rầu, khốn khổ
uniform	đồng phục; đều, giống nhau, đồng dạng
unimportant	không quan trọng, không trọng đại
unimportant	không quan trọng
union	liên hiệp, sự đoàn kết, sự hiệp nhất
unique	độc nhất vô nhị
unit	đơn vị
unite	liên kết, hợp nhất, hợp lại, kết thân
united	liên minh, đoàn kết, chung, thống nhất
universe	vũ trụ
university	trường đại học
unkind	không tốt, độc ác, tàn nhẫn
unkind	không tốt, độc ác, tàn nhẫn
unknown	không biết, không được nhận ra
unknown	không biết, không được nhận ra
unless	trừ phi, trừ khi, nếu không
unlike	khác, không giống
unlike	trừ phi, trừ khi, nếu không
unlikely	không thể xảy ra, không chắc xảy ra
unlikely	không có thể xảy ra, không chắc chắn; không có thực
unload	cất gánh nặng, dỡ hàng
unload	tháo, dỡ
unlucky	không gặp may, bất hạnh
unlucky	không gặp may, bất hạnh
unnecessary	không cần thiết, không mong muốn
unnecessary	không cần thiết, không mong muốn
unpleasant	không dễ chịu, khó chịu, khó ưa
unpleasant	không dễ chịu, khó chịu
unreasonable	vô lý
unreasonable	vô lý
unsteady	không đúng mực, không chắc, không vững
unsteady	không đúng mực, không chắc, không vững
unsuccessful	không thành công, thất bại
unsuccessful	không thành công, thất bại
untidy	không gọn gàng, không ngăn nắp, lộn xộn
untidy	không gọn gàng, không ngăn nắp, lộn xộn
until	trước khi, cho đến khi
unusual	trước khi, cho đến khi
unusual	hiếm, khác thường, đáng chú ý
unusually	cực kỳ, khác thường
unwilling	không muốn làm điều gì; miễn cưỡng; bất đắc dĩ
unwilling	không muốn làm điều gì; miễn cưỡng; bất đắc dĩ
unwillingly	miễn cưỡng; bất đắc dĩ
